campus,statistic,scene_count,start_date,end_date,median_surface_temp_f,mean_surface_temp_f,median_ndvi,mean_ndvi,mean_valid_observations,min_surface_temp_f,max_surface_temp_f,sd_surface_temp_f,min_ndvi,max_ndvi,sd_ndvi,pixel_count,campus_id,heat_image,ndvi_image,metadata_file,data_file,summary_file,heat_image_exists,ndvi_image_exists,metadata_exists,data_file_exists,summary_file_exists,heat_rank,vegetation_rank
UC Riverside,median,4,2025-06-16,2025-07-10,122.218101896,121.974414305893,0.234762516748243,0.262235277586667,3.21706161137441,105.341969948,134.895196274,4.17637681750782,-0.0343001008600047,0.81819045131882,0.132686901351746,15039,ucr,ucr_heat.png,ucr_ndvi.png,ucr_map_metadata.json,ucr_temperature_ndvi.csv,ucr_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,1,8
UC Merced,median,4,2025-06-21,2025-07-15,121.539795827,114.416525221121,0.232932057975373,0.191766994062226,3.82789212207239,71.872718108,134.34762947,17.5779821493961,-0.455648998716465,0.773499936533282,0.144561184987349,8463,ucm,ucm_heat.png,ucm_ndvi.png,ucm_map_metadata.json,ucm_temperature_ndvi.csv,ucm_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,2,9
UC Davis,median,4,2025-06-20,2025-07-14,113.958456566,112.635877686378,0.386794936118569,0.42117742605509,4,88.579658066,133.637023112,7.94600306460867,-0.812305723751427,0.969028454588387,0.208164358799846,34884,ucd,ucd_heat.png,ucd_ndvi.png,ucd_map_metadata.json,ucd_temperature_ndvi.csv,ucd_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,3,3
UCLA,median,4,2025-06-15,2025-07-09,102.788709008,103.221765064201,0.298471019989532,0.324035482663412,3.61354118194509,NA,NA,NA,NA,NA,NA,NA,ucla,ucla_heat.png,ucla_ndvi.png,ucla_map_metadata.json,ucla_temperature_ndvi.csv,ucla_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,4,6
UC Irvine,median,4,2025-06-15,2025-07-09,101.841233864,100.833266917168,0.365002989807062,0.37990538241263,3.96471162563638,NA,NA,NA,NA,NA,NA,NA,uci,uci_heat.png,uci_ndvi.png,uci_map_metadata.json,uci_temperature_ndvi.csv,uci_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,5,4
UC San Diego,median,4,2025-06-16,2025-07-10,96.765474164,94.8033058903367,0.310248736676287,0.328118452886371,2.9392535910860502,NA,NA,NA,NA,NA,NA,NA,ucsd,ucsd_heat.png,ucsd_ndvi.png,ucsd_map_metadata.json,ucsd_temperature_ndvi.csv,ucsd_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,6,5
UC Santa Barbara,median,3,2025-06-22,2025-07-08,96.6793400600001,93.9619010232391,0.298176739245369,0.273522869754473,1.96451330750968,NA,NA,NA,NA,NA,NA,NA,ucsb,ucsb_heat.png,ucsb_ndvi.png,ucsb_map_metadata.json,ucsb_temperature_ndvi.csv,ucsb_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,7,7
UC Berkeley,median,4,2025-06-20,2025-07-14,95.5411394,92.9064318597011,0.420186011874962,0.442231457264831,3.99878787878788,NA,NA,NA,NA,NA,NA,NA,berkeley,berkeley_heat.png,berkeley_ndvi.png,berkeley_map_metadata.json,berkeley_temperature_ndvi.csv,berkeley_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,8,2
UC Santa Cruz,median,4,2025-06-20,2025-07-14,83.579265707,84.7345985033625,0.681806461288761,0.624349155001622,2.23512732124986,69.091817036,108.667361606,11.320502751703,0.0264216824128209,0.908836080972139,0.227133392033062,17468,ucsc,ucsc_heat.png,ucsc_ndvi.png,ucsc_map_metadata.json,ucsc_temperature_ndvi.csv,ucsc_summary.csv,TRUE,TRUE,TRUE,TRUE,TRUE,9,1
