"longitude","latitude","temperature","ndvi","valid_observations"
-117.252352,32.900241,87.15,0.245,1
-117.252048,32.900241,86.38,0.527,1
-117.251744,32.900241,86.44,0.721,1
-117.251441,32.900241,87.45,0.725,1
-117.251137,32.900241,88.55,0.638,1
-117.250833,32.900241,88.74,0.648,1
-117.25053,32.900241,88.67,0.663,1
-117.250226,32.900241,88.48,0.703,1
-117.249922,32.900241,88.45,0.694,1
-117.249619,32.900241,88.56,0.654,1
-117.249315,32.900241,88.56,0.66,1
-117.249011,32.900241,89.26,0.633,1
-117.248707,32.900241,90.17,0.548,1
-117.248404,32.900241,89.51,0.505,1
-117.2481,32.900241,88.15,0.465,1
-117.247796,32.900241,86.28,0.515,1
-117.247493,32.900241,86.36,0.612,1
-117.247189,32.900241,87.21,0.575,1
-117.246885,32.900241,87.99,0.694,1
-117.246582,32.900241,88.56,0.766,1
-117.246278,32.900241,89.12,0.631,1
-117.245974,32.900241,89.61,0.567,1
-117.24567,32.900241,88.87,0.559,2
-117.245367,32.900241,88.92,0.677,2
-117.245063,32.900241,89.35,0.708,2
-117.244759,32.900241,90.38,0.598,2
-117.244456,32.900241,91.79,0.383,2
-117.244152,32.900241,92.94,0.31,2
-117.243848,32.900241,94.7,0.428,2
-117.243545,32.900241,96.59,0.391,2
-117.243241,32.900241,97.29,0.204,3
-117.242937,32.900241,97.19,0.254,3
-117.242633,32.900241,96.79,0.422,3
-117.24233,32.900241,96.26,0.38,3
-117.242026,32.900241,96.03,0.304,3
-117.241722,32.900241,95.92,0.225,4
-117.241419,32.900241,96.27,0.268,4
-117.241115,32.900241,96.27,0.275,4
-117.240811,32.900241,95.83,0.515,4
-117.240508,32.900241,95.13,0.557,4
-117.240204,32.900241,94.32,0.522,4
-117.2399,32.900241,93.48,0.53,4
-117.239596,32.900241,92.62,0.567,4
-117.239293,32.900241,91.81,0.559,4
-117.238989,32.900241,91.18,0.549,4
-117.238685,32.900241,91.25,0.561,4
-117.238382,32.900241,92.22,0.523,4
-117.238078,32.900241,93.39,0.347,4
-117.237774,32.900241,94.59,0.187,4
-117.237471,32.900241,95.93,0.179,4
-117.237167,32.900241,97.1,0.214,4
-117.236863,32.900241,98.04,0.233,4
-117.236559,32.900241,98.44,0.228,4
-117.236256,32.900241,98.31,0.268,4
-117.235952,32.900241,97.93,0.393,4
-117.235648,32.900241,97.88,0.333,4
-117.235345,32.900241,97.86,0.278,4
-117.235041,32.900241,97.63,0.281,4
-117.234737,32.900241,97.9,0.333,4
-117.234434,32.900241,97.66,0.414,4
-117.23413,32.900241,97.91,0.362,4
-117.233826,32.900241,98.74,0.335,4
-117.233522,32.900241,99.19,0.337,4
-117.233219,32.900241,99.19,0.345,4
-117.232915,32.900241,98.73,0.312,4
-117.232611,32.900241,98.26,0.232,4
-117.232308,32.900241,97.84,0.149,4
